index,published,extreme,topic,domain,language,valid,title,description,url,image,archive,content,en,de,la,country,ipcc,continent
e97ffadb0875986fe76d0439e361094f,2026-01-01T05:33:29Z,Snow&Ice,,www.newsit.gr,el,0.7,Καιρός Πρωτοχρονιάς: Ποδαρικό για το 2026 με τσουχτερό κρύο και χιόνια – Παγετός σε πολλές περιοχές,"Με τσουχτερό κρύο μπήκε το 2026 με τη φετινή Πρωτοχρονιά να είναι η πιο παγωμένη των τελευταίων ετών με ιδιαίτερα χαμηλές θερμοκρασίες. Η ημέρα της ... 
To άρθρο Καιρός Πρωτοχρονιάς: Ποδαρικό για το 2026 με τσουχτερό κρύο και χιόνια – Παγετός σε πολλές περιοχ…",https://www.newsit.gr/ellada/kairos-protoxronias-podariko-gia-to-2026-me-tsouxtero-kryo-kai-xionia-pagetos-se-polles-perioxes/4563865/,https://www.newsit.gr/wp-content/uploads/2026/01/xionia-eurok-1200x630.jpg,,"07:24
1 2026
2026 .
 . .
 , .
 , , , , , . , .
 5 8-10 . , 5 11 .
 3-5 , 6, 7 .
 . -1 8 , 6-7 , .
 , . , -34 , 5-6 , .
«» , - .
 , -5 -4 , 7 .
 , , -3 .
. . , .
 10-13 . 3-5 6 , 7.
 , … [+75 chars]","New Year's Weather: Bitter cold and snow forecast for 2026 - Freezing in many areas. 2026 entered with bitter cold, with this year's New Year being the coldest in recent years with particularly low temperatures. The day of ... The article New Year's Weather: Footprint for 2026 with bitter cold and snow - Frost in many areas...","Neujahrswetter: Bittere Kälte und Schnee für 2026 vorhergesagt – Frost in vielen Gebieten. Das Jahr 2026 begann mit bitterer Kälte, wobei das diesjährige Neujahr mit besonders niedrigen Temperaturen das kälteste der letzten Jahre war. Der Tag von ... Der Artikel Neujahrswetter: Fußabdruck für 2026 mit bitterer Kälte und Schnee – Frost in vielen Gegenden...","Tempestas Novus Annus: amara frigus et nix prospicere 2026 - glacians in multis locis. 2026 cum acerbo frigore intravit, cum Novus Annus his annis frigidissimus est cum maxime humilis temperaturis. Dies ... Articulus Tempestatis Novus Annus: Footprint for 2026 cum frigore et nivibus amaris - Frons in multis locis...",Canada,NEN,North-America
005ba34d54faea5ca53405e24ad3c1fb,2026-01-01T06:12:15Z,Snow&Ice,,dialogos.com.cy,el,0.7,"Ισχυροί άνεμοι, βροχές και χιόνια στο Τρόοδος ανήμερα Πρωτοχρονιά – Παγετός και χαμηλές θερμοκρασίες τη νύχτα","Χαμηλή πίεση και σημαντικά ενισχυμένο πεδίο ανέμων επηρεάζουν την περιοχή, ενώ ασθενής ψηλή πίεση αναμένεται σταδιακά από αύριο. Σήμερα, ανήμερα Πρωτοχρονιά, ο καιρός θα είναι μερικώς συννεφιασμένος και κατά διαστήματα κυρίως συννεφιασμένος, ενώ αναμένεται να…",https://dialogos.com.cy/ischyroi-anemoi-vroches-kai-chionia-sto-troodos-animera-protochronia-pagetos-kai-chamiles-thermokrasies-ti-nychta/,https://dialogos.com.cy/wp-content/uploads/2026/01/b_anemoi_kairos_ID_1687044-768x4611-1.jpg,,"© Dialogos Media Group - , , , / , , , , ( ) , , , , , .","Strong winds, rain and snow in Troodos on New Year's Day – Freezing and low temperatures at night. Low pressure and a significantly strengthened wind field are affecting the area, while weak high pressure is expected gradually from tomorrow. Today, New Year's Day, the weather will be partly cloudy and at times mostly cloudy, while it is expected to...","Starke Winde, Regen und Schnee in Troodos am Neujahrstag – Frost und niedrige Temperaturen in der Nacht. Tiefdruck und ein deutlich verstärktes Windfeld prägen das Gebiet, während ab morgen allmählich schwacher Hochdruck zu erwarten ist. Heute, am Neujahrstag, ist das Wetter teilweise bewölkt und zeitweise größtenteils bewölkt, während es voraussichtlich...","Venti validi, pluviae et nives in Troodos in Novus Annus Dies – glacians et humilis temperatura in nocte. Pressura humilis et signanter confirmatus campi venti aream afficiunt, dum pressurae altae infirma paulatim a crastino expectatur. Hodie, Novus Annus Dies, tempestas partim nebulosus erit, interdum plerumque nebulosus, dum expectatur...",Canada,NEN,North-America
545b76bcaafed6a025b2360b352db657,2026-01-01T06:17:00Z,Snow&Ice,,www.protothema.gr,el,0.7,"Καιρός: Πρωτοχρονιά με κρύο και παγετό σε όλη τη χώρα, βροχές και άνοδος της θερμοκρασίας από την Παρασκευή","Δείτε σε ποιες περιοχές θα χιονίσει σήμερα, την πρώτη μέρα της νέας χρονιάς, και πότε θα αρχίσει να ανεβαίνει ο υδράργυρος | Καιρός | Πρωτοχρονιά | Βροχές | Παγετός | Χιόνια | Ελλάδα",https://www.protothema.gr/greece/article/1751222/kairos-protohronia-me-kruo-kai-pageto-se-oli-ti-hora-vrohes-kai-anodos-tis-thermokrasias-apo-tin-paraskeui/,https://www.protothema.gr/images/640x360share/jpg/files/2026-01-01/kairos_maketa.jpg,,": , - ( 300 - 350 ) ..
: 4 5 6 . 3 4 .
: -05 ( ) 05 06 . -10 ( ) 03 04 .
 , , , 
: .
: 3 5 6 . (2 3 ).
: 03 11 12 . -07 ( ) 04 .
, , , 
: . - .
: 4 5 - 6 7 .
: -02 ( ) 10 . 2 3 .
, 
: . ,… [+245 chars]","Weather: New Year with cold and frost across the country, rain and rising temperatures from Friday. See which areas will see snow today, the first day of the new year, and when the mercury will start to rise | Weather | New Year | Rains | Frost | Snow | Greece","Wetter: Neujahr mit Kälte und Frost im ganzen Land, Regen und steigenden Temperaturen ab Freitag. Sehen Sie, in welchen Gebieten es heute, am ersten Tag des neuen Jahres, schneien wird und wann die Temperatur zu steigen beginnt | Wetter | Neujahr | Regen | Frost | Schnee | Griechenland","Tempestas: Novus Annus cum frigore et pruina per patriam, pluviae et calores Veneris ortu. Vide quae areas videbunt hodie nix, dies primus anni novi, et quando Mercurius incipit surgere Tempestas | New Year | Pluviae | Frontinus | Nives | Graecia",Canada,NEN,North-America
48f3a6743a27d29235f5af897d6041dd,2026-01-01T09:02:00Z,Snow&Ice,,www.protothema.gr,el,0.7,"Με παγωνιά μπήκε το 2026, στους -14,6 ο υδράργυρος στo Σέλι",Πού καταγράφηκαν οι οκτώ χαμηλότερες ελάχιστες θερμοκρασίες | Καιρός | Παγωνιά | Σέλι | Παγετός | Ελλάδα,https://www.protothema.gr/greece/article/1751275/me-pagonia-bike-to-2026-sto-seli-stous-146-o-udrarguros/,https://www.protothema.gr/images/640x360share/jpg/files/2026-01-01/pagonia1.jpg,,"To view this video please enable JavaScript, and consider upgrading to a
 web browser that supports HTML5 video","2026 entered with frost, at -14.6 the mercury in Shelly. Where were the eight lowest minimum temperatures recorded | Weather | Frost | Shelly | Frost | Greece","Das Jahr 2026 begann mit Frost, bei -14,6 Grad Celsius in Shelly. Wo wurden die acht niedrigsten Tiefsttemperaturen gemessen | Wetter | Frost | Shelly | Frost | Griechenland","2026 gelu ingressus, ad -14.6 mercurii in Shelly. Ubi erant octo infima minimum temperaturis memoriae | Tempestas | Frontinus | Shelly | Frontinus | Graecia",Canada,NEN,North-America
63df43f22de62690a8a2e2a0b1d4192a,2026-01-01T09:07:00Z,Snow&Ice,,www.naftemporiki.gr,el,0.9,"Καιρός: Πολύ ισχυρός παγετός την Πρωτοχρονιά – Στους -14,6 η ελάχιστη θερμοκρασία","Παγετός, κατά τόπους πολύ ισχυρός, σημειώθηκε τις πρωινές ώρες της Πρωτοχρονιάς, κυρίως στα βόρεια ηπειρωτικά τμήματα, με τη χαμηλότερη ελάχιστη θερμοκρασία να καταγράφεται στο μετεωρολογικό σταθμό στο Σέλι με -14.6…
Καιρός: Πολύ ισχυρός παγετός την Πρωτοχρον…",https://www.naftemporiki.gr/society/2053442/kairos-poly-ischyros-pagetos-tin-protochronia-stoys-146-i-elachisti-thermokrasia/,https://www.naftemporiki.gr/wp-content/uploads/2016/01/1046798.jpeg,,,"Weather: Very strong frost on New Year's Day – At -14.6 the minimum temperature. Frost, very strong in places, was noted in the morning hours of the New Year, mainly in the northern continental parts, with the lowest minimum temperature recorded at the weather station in Selly with -14.6... Weather: Very strong frost on New Year's...","Wetter: Sehr starker Frost am Neujahrstag – bei -14,6 °C die Tiefsttemperatur. In den Morgenstunden des neuen Jahres wurde vor allem in den nördlichen Kontinentalteilen stellenweise sehr starker Frost festgestellt, wobei die niedrigste Tiefsttemperatur an der Wetterstation in Seli mit -14,6 °C gemessen wurde.
Wetter: Sehr starker Frost an Silvester...","Tempestas: pruina fortissima in Novus Annus Dies – Ad -14.6 minimum temperamentum. Pruina, locis validissima, horis matutinis Novi Anni notata, maxime in partibus continentibus septentrionalibus, cum infima temperatura minima in statione tempestatis in Seli cum -14.6... memoratur.
Tempestas: Fortissimum gelu in Novus Annus...",Canada,NEN,North-America
4740ad8ee882b402438a226ea46762e3,2026-01-02T10:19:19Z,Snow&Ice,,www.n-tv.de,de,0.8,Wetterchaos zum Jahresbeginn: Tief Tizian schneit Deutschland ein,"In weiten Teilen Deutschlands fällt gerade Schnee - örtlich sogar so viel, dass die Straßen dicht sind. Lastwagen stecken fest, die Räumdienste haben alle Hände voll zu tun. Meteorologen warnen zudem vor Glätte und Orkanböen.",https://www.n-tv.de/panorama/Tief-Tizian-schneit-Deutschland-ein-id30195832.html,https://www.n-tv.de/img/30195993/1767350735/Img_16_9/1200/Wintereinbruch-mit-starkem-Schneefall-ganz-Hamburg-ist-weiss-Autoverkehr-morgens-um-7-30-Uhr-am-Ballindamm-Flockenwirbel-Hamburg-2-Januar-2026-Deutschland-Hamburg-2.jpg,,"In weiten Teilen Deutschlands fällt gerade Schnee - örtlich sogar so viel, dass die Straßen dicht sind. Lastwagen stecken fest, die Räumdienste haben alle Hände voll zu tun. Meteorologen warnen zudem… [+2476 chars]",Weather chaos at the beginning of the year: Germany is covered in deep Tizian snow. Snow is currently falling in large parts of Germany - in some places so much that the roads are closed. Trucks are stuck and the clearing services have their hands full. Meteorologists also warn of slippery conditions and hurricane-force winds.,"Wetterchaos zum Jahresbeginn: Tief Tizian schneit Deutschland ein. In weiten Teilen Deutschlands fällt gerade Schnee - örtlich sogar so viel, dass die Straßen dicht sind. Lastwagen stecken fest, die Räumdienste haben alle Hände voll zu tun. Meteorologen warnen zudem vor Glätte und Orkanböen.",Tempestas chaos in initio anni: Germania in altis Tizian nive tegitur. Nix in magnis Germaniae partibus nunc cadit - in aliquibus locis tam clausae sunt viae. Aliquet fixa manus plenas habent officia et defensionem. Etiam astrologi monent conditiones lubricas et ventorum vim ventorum.,Germany,WCE,Europe
702565c1fa92a1758871b8b6582cf34a,2026-01-02T15:11:29Z,Snow&Ice,,www.stern.de,de,0.9,Unglück in den Bergen: Ein Toter und zwei Verletzte nach Lawinenabgang in Italien,"In Norditalien an der Grenze zu Frankreich werden vier Bergsteiger von einer Lawine überrascht. Einer von ihnen kommt ums Leben, zwei weitere werden verletzt.",https://www.stern.de/panorama/unglueck-in-den-bergen--ein-toter-und-zwei-verletzte-nach-lawinenabgang-in-italien-37006330.html,https://image.stern.de/37006332/t/T6/v1/w1440/r1.7778/-/02--oetzobi5s2v10axs2048jpeg---ea0fe19e0437d1b2.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
In Norditalien an der Grenze zu Frankreich werden vier Bergsteiger von einer Lawine überrascht. Einer von ihnen kommt ums Leben, zwei weitere wer… [+526 chars]",Accident in the mountains: One dead and two injured after an avalanche in Italy. Four mountaineers are surprised by an avalanche in northern Italy on the border with France. One of them dies and two others are injured.,"Unglück in den Bergen: Ein Toter und zwei Verletzte nach Lawinenabgang in Italien. In Norditalien an der Grenze zu Frankreich werden vier Bergsteiger von einer Lawine überrascht. Einer von ihnen kommt ums Leben, zwei weitere werden verletzt.",Accidens in montibus: Unus mortuus et duo vulnerati post montem cadentem in Italia. Quattuor montani a montem cadentem in Italia septentrionali in confinio Galliae mirantur. Eorum unus moritur et duo alii laeduntur.,Switzerland,WCE,Europe
9a33cebcb7b05fe563ae0facfb331536,2026-01-02T15:11:29Z,Snow&Ice,,www.zeit.de,de,0.9,Unglück in den Bergen: Ein Toter und zwei Verletzte nach Lawinenabgang in Italien,Hier finden Sie Informationen zu dem Thema „Unglück in den Bergen“. Lesen Sie jetzt „Ein Toter und zwei Verletzte nach Lawinenabgang in Italien“.,https://www.zeit.de/news/2026-01/02/ein-toter-und-zwei-verletzte-nach-lawinenabgang-in-italien,https://img.zeit.de/news/2026-01/02/ein-toter-und-zwei-verletzte-nach-lawinenabgang-in-italien-image-group/wide__1300x731,,"Bei einem Lawinenabgang in Norditalien ist ein Tourengeher ums Leben gekommen. Zwei weitere seien verletzt worden, teilte die italienische Bergwacht mit. Insgesamt vier Tourengeher waren ersten Erken… [+352 chars]",Accident in the mountains: One dead and two injured after an avalanche in Italy. Here you will find information on the topic of “Disaster in the Mountains”. Now read “One dead and two injured after avalanche in Italy”.,Unglück in den Bergen: Ein Toter und zwei Verletzte nach Lawinenabgang in Italien. Hier finden Sie Informationen zu dem Thema „Unglück in den Bergen“. Lesen Sie jetzt „Ein Toter und zwei Verletzte nach Lawinenabgang in Italien“.,"Accidens in montibus: Unus mortuus et duo vulnerati post montem cadentem in Italia. Hic informationes invenies in argumento ""cladis in montibus"". Nunc legitur ""Unus mortuus et duo vulnerati post montem cadentem in Italia"".",Switzerland,WCE,Europe
4624a38db5541061b31741dcfb0bab28,2026-01-02T15:12:25Z,Snow&Ice,,www.tagesspiegel.de,de,0.9,Unglück in den Bergen: Ein Toter und zwei Verletzte nach Lawinenabgang in Italien,"In Norditalien an der Grenze zu Frankreich werden vier Bergsteiger von einer Lawine überrascht. Einer von ihnen kommt ums Leben, zwei weitere werden verletzt.",https://www.tagesspiegel.de/gesellschaft/panorama/ungluck-in-den-bergen-ein-toter-und-zwei-verletzte-nach-lawinenabgang-in-italien-15097321.html,https://www.tagesspiegel.de/images/15097320/alternates/BASE_16_9_W1400/1767366745000/bergwacht-in-italien.jpeg,,"Bei einem Lawinenabgang in Norditalien ist ein Tourengeher ums Leben gekommen. Zwei weitere seien verletzt worden, teilte die italienische Bergwacht mit. Insgesamt vier Tourengeher waren ersten Erken… [+406 chars]",Accident in the mountains: One dead and two injured after an avalanche in Italy. Four mountaineers are surprised by an avalanche in northern Italy on the border with France. One of them dies and two others are injured.,"Unglück in den Bergen: Ein Toter und zwei Verletzte nach Lawinenabgang in Italien. In Norditalien an der Grenze zu Frankreich werden vier Bergsteiger von einer Lawine überrascht. Einer von ihnen kommt ums Leben, zwei weitere werden verletzt.",Accidens in montibus: Unus mortuus et duo vulnerati post montem cadentem in Italia. Quattuor montani a montem cadentem in Italia septentrionali in confinio Galliae mirantur. Eorum unus moritur et duo alii laeduntur.,Switzerland,WCE,Europe
e678a6af7654869dd0e40ff707f62337,2026-01-02T22:08:49Z,Snow&Ice,,www.bild.de,de,0.8,3 Tote durch Lawinen an einem Tag - Deutsche stirbt auf Ski-Tour in Italien,Drei Menschen sterben in den Bergen Norditaliens. Unter den Opfern ist auch eine Deutsche. Sie wurde während einer Ski-Tour von den Schneemasse erfasst.,https://www.bild.de/news/ausland/3-tote-durch-lawinen-an-einem-tag-deutsche-stirbt-auf-ski-tour-in-italien-69582d2381680a084cde38b4,"https://images.bild.de/69582d2381680a084cde38b4/0788c3f26e5767f8926a7ed3d7327f79,afada376?w=1280",,Mailand Drei Menschen sind am Freitag in den Bergen Norditaliens durch Lawinenabgänge tödlich verunglückt. Unter den Opfern ist auch eine Deutsche. Sie wurde während einer Ski-Tour von den Schneemass… [+1257 chars],3 deaths from avalanches in one day - German dies on ski tour in Italy. Three people die in the mountains of northern Italy. There is also a German woman among the victims. She was caught in the snow during a ski tour.,3 Tote durch Lawinen an einem Tag - Deutsche stirbt auf Ski-Tour in Italien. Drei Menschen sterben in den Bergen Norditaliens. Unter den Opfern ist auch eine Deutsche. Sie wurde während einer Ski-Tour von den Schneemasse erfasst.,3 In uno die mortem avalanches - German dies in ski tour in Italia. In montibus Italiae septentrionalis tres moriuntur. Est etiam inter victimas femina Germana. Capta est in nive per ski pretium.,Italy,MED,Europe
